condition_id,condition_name,category,severity_tag,common_signs,immediate_steps,do_not_do,when_to_seek_help,follow_up_advice,source
CUT_MINOR,Minor cut or scrape,Injury,mild,"Small, shallow cut; light bleeding; skin surface only; person awake and breathing normally.","Wash your hands if possible. Gently rinse the area with clean running water. If needed, clean around (not inside) the wound with mild soap. Apply gentle pressure with a clean cloth until bleeding slows or stops. Cover with a clean bandage or dressing.","Do not use harsh chemicals directly in the wound. Do not pick at scabs. Do not ignore increasing redness, warmth, swelling, or pus.","If bleeding does not stop after about 10–15 minutes of firm pressure, if the cut is deep, gaping, on the face, caused by a very dirty or rusty object, or if signs of infection appear.","Keep the area clean and dry. Change the bandage if it becomes wet or dirty. Watch for redness, swelling, warmth, pus, or fever.",Basic first-aid guide (general info).
BURN_MILD,Mild burn (no blisters),Injury,mild,"Red, painful skin in a small area; top layer of skin affected; no blisters; usually from brief contact with a hot object, liquid, or steam.","Move away from the heat source. Cool the area with cool (not ice-cold) running water or a cool, wet cloth for about 10–20 minutes or until pain improves. Gently remove rings or tight items near the burn if possible. After cooling, cover lightly with a clean, non-stick dressing.","Do not apply ice directly to the burned skin. Do not use butter, oils, or greasy home remedies. Do not break any blisters that appear later.","If the burn is larger than the person’s palm, on the face, hands, feet, genitals, or over a major joint, or if blisters, charred skin, severe pain, or signs of infection are present.",Keep the area clean and protected. Avoid friction and sun on the burned skin. Use appropriate over-the-counter pain relief if advised. Watch for spreading redness or pus.,Basic first-aid guide (general info).
PUNCTURE_MINOR,Minor puncture wound (small nail or thorn),Injury,mild,"Small, deep point-like injury from a nail, thorn, tack, or similar object; mild to moderate pain; limited bleeding.","Wash your hands. Apply gentle pressure with a clean cloth or bandage to stop bleeding. Rinse the wound under clean running water for several minutes. If small debris is on the surface, gently remove it with clean tweezers. Cover with a clean bandage.",Do not dig deeply into tissue with unsterile tools. Do not ignore a puncture from a very dirty or rusty object. Do not delay checking tetanus status if needed.,"If you cannot clean the wound well, if something is embedded and will not come out easily, if pain, swelling, or redness worsen, if there are signs of infection, or if tetanus vaccination may be out of date.","Keep the area clean and covered. Watch for increasing pain, redness, warmth, pus, or fever. Follow local guidance regarding tetanus vaccination.",Basic first-aid guide (general info).
SUNBURN_MILD,Mild sunburn,Injury,mild,"Pink to red, warm, painful skin after sun exposure; no severe blistering; person otherwise feels fairly well.","Get out of the sun into shade or indoors. Cool the skin with cool baths, showers, or cool, damp cloths. Drink fluids to maintain hydration. Apply soothing, non-irritating moisturizer or aloe gel to intact skin. Use locally recommended over-the-counter pain relievers if appropriate.",Do not pop blisters if they form. Do not keep exposing burned skin to the sun. Do not apply harsh products that sting or further irritate the skin.,"If large areas are blistered, the person feels very unwell (fever, chills, confusion, vomiting), or if pain is severe and not improving.",Keep sunburned skin protected from further sun with clothing or shade. Continue gentle moisturizers as needed. Watch for infection if blisters break.,
BLISTER_SMALL,Small friction blister,Injury,mild,"Small fluid-filled bubble on the skin from rubbing (e.g., shoes or tools); mild to moderate pain; limited redness; no large area of broken skin.","If the blister is intact and small, protect it with a clean non-stick bandage or padding and reduce friction. If it has already broken, gently wash with mild soap and water, let fluid drain, and cover with a sterile non-stick dressing.","Do not deliberately remove the overlying skin flap. Do not puncture large blisters with unsterile tools. Do not ignore increasing redness, warmth, or pus.","If the blister is very large, extremely painful, in a high-pressure area you must keep using, or if there are signs of infection such as spreading redness, warmth, or pus.","Keep the area clean, dry, and protected from rubbing. Change dressings as needed. Adjust footwear, socks, or equipment to reduce friction in the future.",
NOSEBLEED_SIMPLE,Simple nosebleed,Injury,mild,"Bleeding from one or both nostrils; person awake and breathing normally; often after nose picking, dry air, or minor trauma.","Have the person sit upright and lean slightly forward. If advised, gently blow the nose once to clear clots. Pinch the soft part of the nose just below the bony bridge between thumb and finger. Maintain steady pressure for about 10–15 minutes while breathing through the mouth.",Do not tilt the head back. Do not stuff large objects deep into the nose. Do not keep checking too early by repeatedly releasing pressure.,"If bleeding lasts longer than about 20–30 minutes despite proper pressure, if bleeding is very heavy, follows significant head or facial injury, or if the person feels faint, weak, or has trouble breathing.","After bleeding stops, avoid forceful nose blowing or heavy lifting for a few hours. Keep the inside of the nose slightly moist as locally advised (e.g., saline spray, humidifier).",
SPRAIN_ANKLE_MILD,Mild ankle sprain,Injury,mild,"Twisted ankle with pain, mild to moderate swelling, and stiffness; able to bear some weight but uncomfortable; no obvious deformity.",Use the RICE approach: Rest the ankle and avoid painful activity; Ice the area with a wrapped cold pack for about 15–20 minutes at a time with breaks; apply light Compression with an elastic bandage (not too tight); Elevate the ankle above heart level when possible.,Do not continue intense activity that causes significant pain. Do not apply ice directly to bare skin for long periods. Do not wrap so tightly that numbness or pale toes occur.,"If the person cannot bear weight at all, pain is severe, swelling is large, the ankle looks deformed, or if symptoms do not start to improve over several days.",Gradually return to activity as pain allows. Perform range-of-motion and strengthening exercises if advised. Use supportive shoes or braces as needed.,
BRUISE_SIMPLE,Simple bruise (contusion),Injury,mild,"Blue, purple, or greenish discoloration under the skin after a bump or impact; tenderness; mild swelling; skin intact.","If possible, elevate the bruised area above heart level. Apply a cold pack wrapped in a thin cloth for up to about 15–20 minutes at a time, repeating every few hours during the first day or two to reduce pain and swelling.","Do not apply ice directly to bare skin. Do not massage a very fresh, painful bruise aggressively. Do not ignore rapidly worsening swelling, pain, or loss of function.","If bruising appears without clear cause, is very large and painful, follows significant trauma, or is accompanied by difficulty moving the limb, severe pain, or suspicion of a fracture.","After a couple of days, warm compresses may help the bruise fade. Watch for unusual or frequent bruising patterns that might need medical evaluation.",
INSECT_BITE_MILD,Mild insect bite or sting (local reaction),Injury,mild,"Redness, mild swelling, and itching around a bite or sting; discomfort mainly at the site; breathing normal; no tongue or throat swelling.","Move to a safe area away from more insects. If a stinger is visible on the skin surface, gently scrape or lift it away. Wash the area with soap and water. Apply a cool pack or cool, damp cloth for about 10–20 minutes to reduce pain and swelling. Use appropriate over-the-counter anti-itch products if advised.",Do not scratch hard enough to break the skin. Do not squeeze or pinch the venom sac on a stinger. Do not ignore any signs of trouble breathing or widespread hives.,"Seek emergency care immediately if there is trouble breathing, wheezing, swelling of lips, tongue, or throat, chest tightness, or feeling faint. Seek non-emergency medical advice if local redness and swelling keep worsening or pain is significant.",Continue cool compresses and gentle skin care until symptoms settle. Avoid known insect triggers and use recommended protective clothing or repellents in the future.,
HEAT_EXHAUSTION_MILD,Mild heat exhaustion,Environment,mild,"Feeling hot, weak, dizzy, or very tired after heat exposure; heavy sweating; headache; nausea; usually still alert and able to drink.","Move the person to a cooler or shaded place or into air conditioning if available. Have them lie down with legs slightly raised if possible. Loosen or remove heavy clothing. Offer cool water or an appropriate electrolyte drink in small, frequent sips. Cool the body with cool, damp cloths, spray, or fanning.","Do not give very hot or alcoholic drinks. Do not leave the person alone if they feel very unwell. Do not ignore worsening confusion, vomiting, or difficulty walking.","Seek emergency care if the person becomes confused, cannot drink, vomits repeatedly, stops sweating despite heat, develops very hot, dry skin, or if symptoms do not start to improve within about an hour.","After recovery, rest and maintain good hydration. Avoid intense heat exposure for a while and plan shade, fluids, and breaks to prevent recurrence.",
FAINTING_BRIEF,Brief fainting (person wakes quickly),Medical,mild,"Person briefly loses consciousness and then wakes up within about a minute; may feel lightheaded, weak, or sweaty; breathing normal when lying down.","If someone faints, gently help them lie flat on their back if it is safe and there is no obvious serious injury. Raise their legs slightly above heart level if possible. Loosen tight clothing at the neck or waist. Check breathing and responsiveness. Once awake, have them sit for a while and stand slowly.","Do not shake the person or pour liquid into their mouth while unconscious. Do not move them if you suspect serious head, neck, or spine injury. Do not let them stand suddenly.","Call emergency services if the person does not wake within about a minute, has chest pain, trouble breathing, seizure-like movements, a serious injury from the fall, or repeated fainting episodes.","Encourage rest and hydration if appropriate. They should follow up with a health professional if fainting is unexplained, recurrent, or associated with other concerning symptoms.",
DEHYDRATION_MILD,Mild dehydration,Medical,mild,"Thirst, dry mouth, reduced or darker urine, feeling tired or a bit lightheaded; usually still alert and able to drink.","Move to a cool or shaded place. Have the person sip water slowly and regularly. If recommended locally, use an oral rehydration or electrolyte drink, especially after heavy sweating, vomiting, or diarrhea. Encourage rest until feeling better.",Do not continue intense physical activity in the heat while feeling dehydrated. Avoid alcohol and very sugary drinks as the main way to rehydrate. Do not ignore worsening confusion or very low urine output.,"Seek medical help if the person cannot keep fluids down, feels very weak or confused, has signs of more severe dehydration (very little or no urine, very dry mouth and tongue, rapid heartbeat or breathing, or fainting), or if symptoms do not improve after drinking.","Aim to drink fluids regularly, especially in hot weather or during illness or exercise. Monitor urine color as a rough guide; very dark urine can indicate the need for more fluids.",
EYE_FOREIGN_SMALL,Small foreign particle in eye (no major injury),Injury,mild,Sensation of something in the eye such as dust or sand; tearing; redness; uncomfortable but usually able to keep the eye open; vision mostly preserved.,"Wash your hands. Rinse the eye gently with clean, lukewarm water or saline using an eye cup, a small clean glass, or a gentle stream. Blink several times during rinsing to help dislodge the particle. Remove contact lenses if worn before or during rinsing.",Do not rub the eye. Do not try to remove objects that are stuck into the eye or that you cannot see clearly. Do not use sharp tools or cotton swabs on the eye surface.,"Seek urgent medical or eye care if pain is severe, vision is affected, something appears embedded, chemicals are involved, or symptoms persist after thorough rinsing.",Avoid rubbing the eye while it recovers. Use any eye drops only as recommended by a professional. Wear appropriate eye protection during high-risk tasks in the future.,
SPLINTER_SMALL,Small splinter or superficial foreign object in skin,Injury,mild,"Small piece of wood, glass, or thorn just under or slightly above the skin surface; local discomfort; usually visible.","Wash your hands. Rinse the eye gently with clean, lukewarm water or saline using an eye cup, a small clean glass, or a gentle stream. Blink several times during rinsing to help dislodge the particle. Remove contact lenses if worn before or during rinsing.","Do not dig deeply into the skin with needles or unsterile tools. Do not try to remove large or deeply embedded objects. Do not ignore increasing redness, swelling, or pus.","Seek medical help if the object is deeply embedded, near the eye, in a joint, or cannot be removed easily, or if the area becomes more painful, red, or swollen over time.",Keep the area clean and dry after removal. Watch for signs of infection. Follow local guidance regarding tetanus vaccination if applicable.,
RASH_CONTACT_MILD,Mild contact rash (local skin irritation/allergic),Medical,mild,"Red, itchy patches or streaks where skin touched an irritant or allergen (plants, soaps, metals); no trouble breathing; no major tongue or throat swelling.","Rinse the affected skin with lukewarm water and mild soap soon after suspected contact if possible. Avoid further contact with the suspected irritant or allergen. Apply cool, wet compresses to soothe the area. Use appropriate over-the-counter anti-itch lotions or creams on intact skin if advised.",Do not keep scratching until the skin breaks. Do not use strong topical products on open or severely irritated skin without professional guidance. Do not ignore a spreading rash with systemic symptoms.,"Seek medical help if the rash is widespread, on the face or genitals, very painful, shows signs of infection, or if there is trouble breathing, swelling of lips, tongue, or throat, or dizziness that could indicate a more serious reaction.",Continue avoiding the suspected trigger. Use gentle skin care and loose clothing that does not rub the rash. Follow any medical advice about allergy testing or treatment if given.,
